year,county,sex,race,deaths
2010,McClain,Male,Asian,0.0
2010,McClain,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,McClain,Male,Other,0.0
2010,McClain,Male,Unknown,0.0
2010,McClain,Male,More than one race,0.0
2010,McCurtain,Male,White,21.0
2010,McCurtain,Male,Black or African American,0.0
2010,McCurtain,Male,American Indian or Alaska Native,6.0
2010,McCurtain,Male,Asian,0.0
2010,McCurtain,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,McCurtain,Male,Other,0.0
2010,McCurtain,Male,Unknown,0.0
2010,McCurtain,Male,More than one race,0.0
2010,McIntosh,Male,White,11.0
2010,McIntosh,Male,Black or African American,0.0
2010,McIntosh,Male,American Indian or Alaska Native,0.0
2010,McIntosh,Male,Asian,0.0
2010,McIntosh,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,McIntosh,Male,Other,0.0
2010,McIntosh,Male,Unknown,0.0
2010,McIntosh,Male,More than one race,0.0
2010,Major,Male,White,0.0
2010,Major,Male,Black or African American,0.0
2010,Major,Male,American Indian or Alaska Native,0.0
2010,Major,Male,Asian,0.0
2010,Major,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Major,Male,Other,0.0
2010,Major,Male,Unknown,0.0
2010,Major,Male,More than one race,0.0
2010,Marshall,Male,White,10.0
2010,Marshall,Male,Black or African American,0.0
2010,Marshall,Male,American Indian or Alaska Native,0.0
2010,Marshall,Male,Asian,0.0
2010,Marshall,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Marshall,Male,Other,0.0
2010,Marshall,Male,Unknown,0.0
2010,Marshall,Male,More than one race,0.0
2010,Mayes,Male,White,22.0
2010,Mayes,Male,Black or African American,0.0
2010,Mayes,Male,American Indian or Alaska Native,11.0
2010,Mayes,Male,Asian,0.0
2010,Mayes,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Mayes,Male,Other,0.0
2010,Mayes,Male,Unknown,0.0
2010,Mayes,Male,More than one race,0.0
2010,Murray,Male,White,0.0
2010,Murray,Male,Black or African American,0.0
2010,Murray,Male,American Indian or Alaska Native,0.0
2010,Murray,Male,Asian,0.0
2010,Murray,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Murray,Male,Other,0.0
2010,Murray,Male,Unknown,0.0
2010,Murray,Male,More than one race,0.0
2010,Muskogee,Male,White,36.0
2010,Muskogee,Male,Black or African American,9.0
2010,Muskogee,Male,American Indian or Alaska Native,13.0
2010,Muskogee,Male,Asian,0.0
2010,Muskogee,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Muskogee,Male,Other,0.0
2010,Muskogee,Male,Unknown,0.0
2010,Muskogee,Male,More than one race,0.0
2010,Noble,Male,White,0.0
2010,Noble,Male,Black or African American,0.0
2010,Noble,Male,American Indian or Alaska Native,0.0
2010,Noble,Male,Asian,0.0
2010,Noble,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Noble,Male,Other,0.0
2010,Noble,Male,Unknown,0.0
