"Search Characteristic","Values Selected"
Year 2010
"",,"Births","Population","Birth Rate"
"County of Residence","Mother's Age"
"Hughes","15-17 years",8,514,15.6
,"18-19 years",19,328,57.9
,"20-24 years",66,818,80.7
,"25-29 years",40,900,44.4
,"30-34 years",17,875,19.4
,"35-39 years",9,894,10.1
"Jackson","15-17 years",18,1101,16.3
,"18-19 years",39,735,53.1
,"20-24 years",152,2157,70.5
,"25-29 years",123,1923,64.0
,"30-34 years",60,1799,33.4
,"35-39 years",31,1585,19.6
,"40-44 years",".",1468,"."
"Jefferson","15-17 years",".",249,"."
,"18-19 years",8,147,54.4
,"20-24 years",34,349,97.4
,"25-29 years",16,315,50.8
,"30-34 years",11,363,30.3
,"35-39 years",".",353,"."
,"40-44 years",".",343,"."
"Johnston","15-17 years",9,458,19.7
,"18-19 years",18,380,47.4
,"20-24 years",46,667,69.0
,"25-29 years",29,677,42.8
,"30-34 years",15,616,24.4
,"35-39 years",".",585,"."
"Kay","10-14 years",".",3179,"."
,"15-17 years",33,1932,17.1
,"18-19 years",74,1312,56.4
,"20-24 years",223,2676,83.3
,"25-29 years",167,2639,63.3
,"30-34 years",93,2744,33.9
,"35-39 years",29,2367,12.3
,"40-44 years",6,2536,2.4
,"Unknown Age",".",".","."
"Kingfisher","10-14 years",".",1148,"."
,"15-17 years",7,645,10.9
,"18-19 years",16,425,37.6
,"20-24 years",40,755,53.0
,"25-29 years",48,903,53.2
,"30-34 years",44,910,48.4
,"35-39 years",10,908,11.0
,"40-44 years",".",918,"."
"Kiowa","15-17 years",5,386,13.0
,"18-19 years",9,227,39.6
,"20-24 years",46,507,90.7
,"25-29 years",29,501,57.9
,"30-34 years",17,503,33.8
,"35-39 years",6,502,12.0
,"40-44 years",".",495,"."
"Latimer","15-17 years",".",455,"."
,"18-19 years",14,416,33.7
,"20-24 years",53,777,68.2
,"25-29 years",34,602,56.5
,"30-34 years",10,611,16.4
,"35-39 years",7,563,12.4
,"40-44 years",".",654,"."
"Le Flore","15-17 years",32,2030,15.8
,"18-19 years",76,1331,57.1
,"20-24 years",274,3198,85.7
,"25-29 years",182,3032,60.0
,"30-34 years",93,3092,30.1
,"35-39 years",25,2979,8.4
,"40-44 years",8,3052,2.6
,"45-54 years",".",7022,"."
"Lincoln","15-17 years",8,1613,5.0
,"18-19 years",29,813,35.7
,"20-24 years",126,1711,73.6
,"25-29 years",124,1806,68.7
,"30-34 years",63,1895,33.2
,"35-39 years",19,1937,9.8
,"40-44 years",".",2172,"."
"Logan","15-17 years",7,1806,3.9
,"18-19 years",31,1829,16.9
,"20-24 years",131,2821,46.4
,"25-29 years",149,2468,60.4
,"30-34 years",98,2514,39.0
,"35-39 years",43,2576,16.7
,"40-44 years",14,2654,5.3
,"Unknown Age",".",".","."
"Love","15-17 years",5,382,13.1
,"18-19 years",19,203,93.6
,"20-24 years",42,496,84.7
,"25-29 years",28,565,49.6
,"30-34 years",24,533,45.0
,"35-39 years",12,526,22.8
,"40-44 years",".",561,"."
"McClain","15-17 years",11,1649,6.7
,"18-19 years",22,815,27.0
,"20-24 years",104,1719,60.5
,"25-29 years",137,1962,69.8
,"30-34 years",106,2181,48.6
,"35-39 years",20,2289,8.7
,"40-44 years",9,2371,3.8
"McCurtain","10-14 years",".",2453,"."
,"15-17 years",31,1449,21.4
,"18-19 years",49,846,57.9
,"20-24 years",207,1898,109.1
,"25-29 years",109,1872,58.2
,"30-34 years",53,1870,28.3
,"35-39 years",15,1999,7.5
,"40-44 years",".",2047,"."
"McIntosh","15-17 years",12,777,15.4
,"18-19 years",22,450,48.9
,"20-24 years",72,922,78.1
,"25-29 years",54,988,54.7
,"30-34 years",26,948,27.4
,"35-39 years",7,945,7.4
,"40-44 years",".",1147,"."
"Major","15-17 years",".",308,"."
,"18-19 years",11,163,67.5
,"20-24 years",29,369,78.6
,"25-29 years",31,429,72.3
,"30-34 years",23,439,52.4
,"35-39 years",5,368,13.6
,"40-44 years",".",407,"."
"Marshall","15-17 years",7,659,10.6
,"18-19 years",27,367,73.6
,"20-24 years",57,787,72.4
,"25-29 years",52,796,65.3
,"30-34 years",27,839,32.2
,"35-39 years",17,819,20.8
,"40-44 years",".",905,"."
"Mayes","10-14 years",".",2996,"."
,"15-17 years",10,1923,5.2
,"18-19 years",54,1031,52.4
,"20-24 years",183,2293,79.8
,"25-29 years",150,2327,64.5
,"30-34 years",59,2465,23.9
,"35-39 years",28,2335,12.0
,"40-44 years",".",2534,"."
"Murray","15-17 years",".",544,"."
,"18-19 years",11,293,37.5
,"20-24 years",51,722,70.6
,"25-29 years",44,773,56.9
,"30-34 years",23,767,30.0
,"35-39 years",9,786,11.5
,"40-44 years",".",804,"."
"Muskogee","10-14 years",".",4831,"."
,"15-17 years",36,2844,12.7
,"18-19 years",94,1952,48.2
,"20-24 years",343,4603,74.5
,"25-29 years",309,4645,66.5
,"30-34 years",165,4618,35.7
,"35-39 years",40,4196,9.5
,"40-44 years",13,4196,3.1
,"Unknown Age",".",".","."
"Noble","15-17 years",8,467,17.1
,"18-19 years",9,252,35.7
,"20-24 years",40,568,70.4
,"25-29 years",38,674,56.4
,"30-34 years",32,643,49.8
,"35-39 years",10,638,15.7
,"40-44 years",".",788,"."
"Nowata","15-17 years",".",463,"."
,"18-19 years",".",275,"."
,"20-24 years",40,529,75.6
,"25-29 years",35,562,62.3
,"30-34 years",16,567,28.2
,"35-39 years",10,594,16.8
,"40-44 years",".",641,"."
"Okfuskee","15-17 years",5,484,10.3
,"18-19 years",12,317,37.9
,"20-24 years",73,654,111.6
,"25-29 years",68,747,91.0
,"30-34 years",38,778,48.8
,"35-39 years",13,745,17.4
,"40-44 years",".",788,"."
"Oklahoma","10-14 years",16,48552,0.3
,"15-17 years",384,27634,13.9
,"18-19 years",877,18781,46.7
,"20-24 years",3196,55026,58.1
,"25-29 years",3623,60515,59.9
,"30-34 years",2461,53002,46.4
,"35-39 years",1042,45583,22.9
,"40-44 years",225,44466,5.1
,"45-54 years",12,96706,0.1
,"Unknown Age",".",".","."
"Okmulgee","10-14 years",".",2796,"."
,"15-17 years",20,1636,12.2
,"18-19 years",63,1250,50.4
,"20-24 years",199,2693,73.9
,"25-29 years",124,2298,54.0
,"30-34 years",62,2250,27.6
,"35-39 years",30,2205,13.6
,"40-44 years",7,2331,3.0
"Osage","15-17 years",15,2022,7.4
,"18-19 years",40,1148,34.8
,"20-24 years",147,2543,57.8
,"25-29 years",134,2611,51.3
,"30-34 years",88,2663,33.0
,"35-39 years",30,2618,11.5
,"40-44 years",5,2943,1.7
"Ottawa","10-14 years",".",2276,"."
,"15-17 years",20,1296,15.4
,"18-19 years",55,1096,50.2
,"20-24 years",166,2135,77.8
,"25-29 years",115,1710,67.3
,"30-34 years",60,1821,32.9
,"35-39 years",20,1790,11.2
,"40-44 years",".",1884,"."
,"Unknown Age",".",".","."
"Pawnee","15-17 years",".",719,"."
,"18-19 years",19,409,46.5
,"20-24 years",59,853,69.2
,"25-29 years",54,894,60.4
,"30-34 years",26,883,29.4
,"35-39 years",14,975,14.4
,"40-44 years",5,1074,4.7
"Payne","15-17 years",11,2235,4.9
,"18-19 years",48,5270,9.1
,"20-24 years",281,16270,17.3
,"25-29 years",317,6308,50.3
,"30-34 years",180,4713,38.2
,"35-39 years",74,3783,19.6
,"40-44 years",12,3588,3.3
"Pittsburg","10-14 years",".",2708,"."
,"15-17 years",22,1700,12.9
,"18-19 years",55,1052,52.3
,"20-24 years",199,2621,75.9
,"25-29 years",135,2968,45.5
,"30-34 years",79,2870,27.5
,"35-39 years",18,2675,6.7
,"40-44 years",".",2717,"."
"Pontotoc","15-17 years",15,1389,10.8
,"18-19 years",41,1289,31.8
,"20-24 years",214,3479,61.5
,"25-29 years",166,2724,60.9
,"30-34 years",80,2301,34.8
,"35-39 years",34,2044,16.6
,"40-44 years",6,2125,2.8
"Pottawatomie","10-14 years",".",4941,"."
,"15-17 years",37,2862,12.9
,"18-19 years",83,2156,38.5
,"20-24 years",326,5010,65.1
,"25-29 years",268,4436,60.4
,"30-34 years",144,4423,32.6
,"35-39 years",50,4192,11.9
,"40-44 years",10,4237,2.4
"Pushmataha","15-17 years",7,435,16.1
,"18-19 years",22,275,80.0
,"20-24 years",59,581,101.5
,"25-29 years",32,582,55.0
,"30-34 years",8,584,13.7
,"35-39 years",7,559,12.5
,"40-44 years",".",663,"."
"Roger Mills","10-14 years",".",253,"."
,"15-17 years",".",157,"."
,"18-19 years",".",70,"."
,"20-24 years",15,179,83.8
,"25-29 years",15,228,65.8
,"30-34 years",8,230,34.8
,"35-39 years",".",196,"."
"Rogers","10-14 years",".",6947,"."
,"15-17 years",20,4236,4.7
,"18-19 years",90,2422,37.2
,"20-24 years",257,5261,48.9
,"25-29 years",304,4966,61.2
,"30-34 years",169,4983,33.9
,"35-39 years",86,5346,16.1
,"40-44 years",16,6047,2.6
,"45-54 years",".",13231,"."
"Seminole","10-14 years",".",1921,"."
,"15-17 years",19,1100,17.3
,"18-19 years",36,722,49.9
,"20-24 years",132,1479,89.2
,"25-29 years",105,1371,76.6
,"30-34 years",41,1439,28.5
,"35-39 years",13,1398,9.3
,"40-44 years",".",1470,"."
"Sequoyah","10-14 years",5,3115,1.6
,"15-17 years",23,1907,12.1
,"18-19 years",56,1043,53.7
,"20-24 years",198,2369,83.6
,"25-29 years",153,2308,66.3
,"30-34 years",78,2444,31.9
,"35-39 years",32,2632,12.2
,"40-44 years",11,2787,3.9
"Stephens","15-17 years",15,1812,8.3
,"18-19 years",43,1022,42.1
,"20-24 years",170,2478,68.6
,"25-29 years",154,2653,58.0
,"30-34 years",85,2773,30.7
,"35-39 years",40,2530,15.8
,"40-44 years",".",2542,"."
"Texas","15-17 years",16,895,17.9
,"18-19 years",38,724,52.5
,"20-24 years",101,1835,55.0
,"25-29 years",113,1566,72.2
,"30-34 years",69,1517,45.5
,"35-39 years",33,1364,24.2
,"40-44 years",".",1360,"."
,"45-54 years",".",2584,"."
"Tillman","15-17 years",5,341,14.7
,"18-19 years",13,213,61.0
,"20-24 years",40,437,91.5
,"25-29 years",25,494,50.6
,"30-34 years",18,425,42.4
,"35-39 years",5,402,12.4
,"40-44 years",".",495,"."
"Tulsa","10-14 years",12,42269,0.3
,"15-17 years",263,24385,10.8
,"18-19 years",661,16000,41.3
,"20-24 years",2510,42600,58.9
,"25-29 years",2770,46048,60.2
,"30-34 years",1964,42625,46.1
,"35-39 years",828,39209,21.1
,"40-44 years",172,39646,4.3
,"45-54 years",6,82465,0.1
,"Unknown Age",".",".","."
"Wagoner","10-14 years",".",5659,"."
,"15-17 years",18,3257,5.5
,"18-19 years",49,1747,28.0
,"20-24 years",223,3813,58.5
,"25-29 years",321,4452,72.1
,"30-34 years",189,5026,37.6
,"35-39 years",57,4937,11.5
,"40-44 years",17,4960,3.4
,"45-54 years",".",10550,"."
"Washington","15-17 years",20,1979,10.1
,"18-19 years",57,1353,42.1
,"20-24 years",203,2940,69.0
,"25-29 years",167,3098,53.9
,"30-34 years",107,2856,37.5
,"35-39 years",38,2851,13.3
,"40-44 years",5,2999,1.7
"Washita","15-17 years",".",455,"."
,"18-19 years",14,272,51.5
,"20-24 years",57,639,89.2
,"25-29 years",35,682,51.3
,"30-34 years",20,759,26.4
,"35-39 years",8,603,13.3
,"40-44 years",".",615,"."
"Woods","15-17 years",9,244,36.9
,"18-19 years",11,436,25.2
,"20-24 years",35,1166,30.0
,"25-29 years",30,636,47.2
,"30-34 years",25,506,49.4
,"35-39 years",6,431,13.9
,"40-44 years",".",388,"."
"Woodward","15-17 years",12,760,15.8
,"18-19 years",42,463,90.7
,"20-24 years",102,1250,81.6
,"25-29 years",103,1481,69.5
,"30-34 years",44,1477,29.8
,"35-39 years",15,1257,11.9
,"40-44 years",".",1219,"."

Year 2012
"",,"Births","Population","Birth Rate"
"County of Residence","Mother's Age"
"UNKNOWN","15-17 years",".",".","."
,"18-19 years",10,".","."
,"20-24 years",19,".","."
,"25-29 years",13,".","."
,"30-34 years",8,".","."
,"35-39 years",11,".","."
,"Unknown Age",".",".","."
"Adair","10-14 years",".",1754,"."
,"15-17 years",12,1073,11.2
,"18-19 years",41,601,68.2
,"20-24 years",117,1384,84.5
,"25-29 years",99,1268,78.1
,"30-34 years",49,1317,37.2
,"35-39 years",18,1385,13.0
,"40-44 years",6,1436,4.2
"Alfalfa","18-19 years",".",106,"."
,"20-24 years",20,203,98.5
,"25-29 years",27,297,90.9
,"30-34 years",7,299,23.4
,"35-39 years",".",402,"."
,"40-44 years",".",450,"."
"Atoka","15-17 years",6,535,11.2
,"18-19 years",14,314,44.6
,"20-24 years",49,805,60.9
,"25-29 years",40,899,44.5
,"30-34 years",16,876,18.3
,"35-39 years",".",820,"."
,"40-44 years",".",842,"."
"Beaver","15-17 years",".",228,"."
,"18-19 years",10,143,69.9
,"20-24 years",17,288,59.0
,"25-29 years",17,273,62.3
,"30-34 years",11,326,33.7
,"35-39 years",".",312,"."
,"40-44 years",".",350,"."
"Beckham","15-17 years",11,789,13.9
,"18-19 years",40,490,81.6
,"20-24 years",128,1753,73.0
,"25-29 years",100,1916,52.2
,"30-34 years",69,1789,38.6
,"35-39 years",13,1440,9.0
,"40-44 years",".",1389,"."
,"Unknown Age",".",".","."
"Blaine","15-17 years",7,398,17.6
,"18-19 years",16,236,67.8
,"20-24 years",62,563,110.1
,"25-29 years",40,504,79.4
,"30-34 years",38,518,73.4
,"35-39 years",10,525,19.0
"Bryan","10-14 years",".",2870,"."
,"15-17 years",8,1594,5.0
,"18-19 years",65,1270,51.2
,"20-24 years",234,3593,65.1
,"25-29 years",187,2965,63.1
,"30-34 years",71,2664,26.7
,"35-39 years",30,2440,12.3
,"40-44 years",6,2615,2.3
,"Unknown Age",".",".","."
"Caddo","10-14 years",".",2095,"."
,"15-17 years",17,1258,13.5
,"18-19 years",49,699,70.1
,"20-24 years",117,1863,62.8
,"25-29 years",110,1995,55.1
,"30-34 years",52,1973,26.4
,"35-39 years",17,1665,10.2
,"40-44 years",5,1836,2.7
"Canadian","10-14 years",".",9275,"."
,"15-17 years",22,5374,4.1
,"18-19 years",87,2750,31.6
,"20-24 years",368,6773,54.3
,"25-29 years",548,8595,63.8
,"30-34 years",436,9193,47.4
,"35-39 years",143,8596,16.6
,"40-44 years",26,8828,2.9
,"Unknown Age",".",".","."
"Carter","10-14 years",".",3508,"."
,"15-17 years",35,1961,17.8
,"18-19 years",75,1103,68.0
,"20-24 years",213,2786,76.5
,"25-29 years",180,2938,61.3
,"30-34 years",105,2998,35.0
,"35-39 years",32,2978,10.7
,"40-44 years",7,3021,2.3
"Cherokee","10-14 years",".",3135,"."
,"15-17 years",27,1969,13.7
,"18-19 years",57,1987,28.7
,"20-24 years",209,5113,40.9
,"25-29 years",174,3040,57.2
,"30-34 years",90,2860,31.5
,"35-39 years",35,2574,13.6
,"40-44 years",7,2719,2.6
"Choctaw","10-14 years",".",1038,"."
,"15-17 years",9,594,15.2
,"18-19 years",28,294,95.2
,"20-24 years",88,876,100.5
,"25-29 years",44,802,54.9
,"30-34 years",23,824,27.9
,"35-39 years",11,813,13.5
,"40-44 years",".",861,"."
"Cimarron","18-19 years",".",47,"."
,"20-24 years",8,115,69.6
,"25-29 years",14,114,122.8
,"30-34 years",6,133,45.1
,"35-39 years",".",121,"."
"Cleveland","10-14 years",".",17066,"."
,"15-17 years",42,9659,4.3
,"18-19 years",148,9687,15.3
,"20-24 years",712,30095,23.7
,"25-29 years",1006,20801,48.4
,"30-34 years",814,20124,40.4
,"35-39 years",258,16731,15.4
,"40-44 years",43,16495,2.6
,"45-54 years",7,33288,0.2
,"Unknown Age",".",".","."
"Coal","15-17 years",".",281,"."
,"18-19 years",5,158,31.6
,"20-24 years",28,357,78.4
,"25-29 years",11,270,40.7
,"30-34 years",11,303,36.3
,"35-39 years",".",348,"."
,"40-44 years",".",313,"."
"Comanche","10-14 years",".",8016,"."
,"15-17 years",53,4673,11.3
,"18-19 years",141,4592,30.7
,"20-24 years",691,12882,53.6
,"25-29 years",628,11455,54.8
,"30-34 years",332,9812,33.8
,"35-39 years",113,7709,14.7
,"40-44 years",16,7580,2.1
,"Unknown Age",".",".","."
"Cotton","15-17 years",5,247,20.2
,"18-19 years",8,142,56.3
,"20-24 years",28,362,77.3
,"25-29 years",26,287,90.6
,"30-34 years",8,370,21.6
,"35-39 years",".",326,"."
,"40-44 years",".",408,"."
"Craig","15-17 years",8,601,13.3
,"18-19 years",18,336,53.6
,"20-24 years",59,889,66.4
,"25-29 years",46,819,56.2
,"30-34 years",23,787,29.2
,"35-39 years",7,857,8.2
"Creek","10-14 years",".",5036,"."
,"15-17 years",30,3032,9.9
,"18-19 years",84,1631,51.5
,"20-24 years",293,4171,70.2
,"25-29 years",259,3972,65.2
,"30-34 years",143,4267,33.5
,"35-39 years",37,4033,9.2
,"40-44 years",13,4473,2.9
,"Unknown Age",".",".","."
"Custer","15-17 years",19,1044,18.2
,"18-19 years",32,1150,27.8
,"20-24 years",146,3841,38.0
,"25-29 years",152,2245,67.7
,"30-34 years",85,1803,47.1
,"35-39 years",23,1399,16.4
,"40-44 years",".",1408,"."
"Delaware","15-17 years",24,1667,14.4
,"18-19 years",46,954,48.2
,"20-24 years",177,2075,85.3
,"25-29 years",111,1920,57.8
,"30-34 years",50,2027,24.7
,"35-39 years",15,2121,7.1
,"40-44 years",".",2426,"."
"Dewey","15-17 years",".",195,"."
,"18-19 years",7,122,57.4
,"20-24 years",20,213,93.9
,"25-29 years",16,241,66.4
,"30-34 years",11,273,40.3
,"35-39 years",".",247,"."
,"40-44 years",".",251,"."
"Ellis","15-17 years",".",167,"."
,"18-19 years",".",87,"."
,"20-24 years",9,150,60.0
,"25-29 years",16,163,98.2
,"30-34 years",6,231,26.0
,"35-39 years",6,238,25.2
"Garfield","10-14 years",".",3998,"."
,"15-17 years",41,2344,17.5
,"18-19 years",77,1347,57.2
,"20-24 years",288,4254,67.7
,"25-29 years",300,4288,70.0
,"30-34 years",180,4275,42.1
,"35-39 years",45,3337,13.5
,"40-44 years",14,3361,4.2
,"45-54 years",".",8074,"."
"Garvin","10-14 years",".",1991,"."
,"15-17 years",".",1090,"."
,"18-19 years",35,596,58.7
,"20-24 years",139,1543,90.1
,"25-29 years",116,1533,75.7
,"30-34 years",54,1705,31.7
,"35-39 years",11,1584,6.9
,"40-44 years",6,1653,3.6
"Grady","15-17 years",21,2279,9.2
,"18-19 years",43,1264,34.0
,"20-24 years",184,3355,54.8
,"25-29 years",185,3045,60.8
,"30-34 years",115,3422,33.6
,"35-39 years",40,3198,12.5
,"40-44 years",8,3440,2.3
"Grant","15-17 years",".",167,"."
,"18-19 years",5,104,48.1
,"20-24 years",15,187,80.2
,"25-29 years",15,243,61.7
,"30-34 years",11,233,47.2
,"35-39 years",".",231,"."
"Greer","15-17 years",".",184,"."
,"18-19 years",14,118,118.6
,"20-24 years",19,379,50.1
,"25-29 years",19,505,37.6
,"30-34 years",8,451,17.7
,"35-39 years",".",394,"."
,"40-44 years",".",412,"."
"Harmon","15-17 years",6,108,55.6
,"18-19 years",".",75,"."
,"20-24 years",15,158,94.9
,"25-29 years",10,159,62.9
,"30-34 years",".",184,"."
,"35-39 years",".",143,"."
"Harper","15-17 years",".",146,"."
,"18-19 years",".",88,"."
,"20-24 years",15,171,87.7
,"25-29 years",14,222,63.1
,"30-34 years",13,246,52.8
,"35-39 years",".",209,"."
,"40-44 years",".",165,"."
"Haskell","15-17 years",6,555,10.8
,"18-19 years",16,304,52.6
,"20-24 years",59,743,79.4
,"25-29 years",56,717,78.1
,"30-34 years",20,741,27.0
,"35-39 years",5,699,7.2
,"40-44 years",".",757,"."
"Hughes","15-17 years",7,511,13.7
,"18-19 years",14,311,45.0
,"20-24 years",46,848,54.2
,"25-29 years",34,878,38.7
,"30-34 years",19,900,21.1
,"35-39 years",12,861,13.9
"Jackson","10-14 years",".",1777,"."
,"15-17 years",15,1038,14.5
,"18-19 years",44,725,60.7
,"20-24 years",153,2207,69.3
,"25-29 years",133,1913,69.5
,"30-34 years",100,1803,55.5
,"35-39 years",23,1593,14.4
,"40-44 years",".",1467,"."
"Jefferson","15-17 years",".",231,"."
,"18-19 years",12,134,89.6
,"20-24 years",33,360,91.7
,"25-29 years",20,320,62.5
,"30-34 years",10,345,29.0
,"35-39 years",5,355,14.1
,"40-44 years",".",339,"."
"Johnston","15-17 years",6,466,12.9
,"18-19 years",17,351,48.4
,"20-24 years",46,669,68.8
,"25-29 years",40,659,60.7
,"30-34 years",19,619,30.7
,"35-39 years",".",595,"."
,"40-44 years",".",646,"."
"Kay","10-14 years",".",3168,"."
,"15-17 years",38,1887,20.1
,"18-19 years",69,1273,54.2
,"20-24 years",232,2794,83.0
,"25-29 years",172,2597,66.2
,"30-34 years",88,2704,32.5
,"35-39 years",37,2442,15.2
,"40-44 years",".",2476,"."
,"45-54 years",".",5999,"."
"Kingfisher","15-17 years",6,651,9.2
,"18-19 years",17,380,44.7
,"20-24 years",65,813,80.0
,"25-29 years",79,858,92.1
,"30-34 years",37,901,41.1
,"35-39 years",13,895,14.5
,"40-44 years",".",887,"."
"Kiowa","15-17 years",6,366,16.4
,"18-19 years",8,226,35.4
,"20-24 years",45,500,90.0
,"25-29 years",39,483,80.7
,"30-34 years",22,530,41.5
,"35-39 years",5,477,10.5
,"Unknown Age",".",".","."
"Latimer","15-17 years",".",435,"."
,"18-19 years",8,400,20.0
,"20-24 years",53,779,68.0
,"25-29 years",34,604,56.3
,"30-34 years",16,610,26.2
,"35-39 years",7,518,13.5
,"40-44 years",".",627,"."
,"Unknown Age",".",".","."
"Le Flore","15-17 years",29,2001,14.5
,"18-19 years",76,1303,58.3
,"20-24 years",245,3152,77.7
,"25-29 years",191,2962,64.5
,"30-34 years",87,3128,27.8
,"35-39 years",39,2914,13.4
,"40-44 years",6,3055,2.0
"Lincoln","10-14 years",".",2512,"."
,"15-17 years",16,1522,10.5
,"18-19 years",35,825,42.4
,"20-24 years",142,1813,78.3
,"25-29 years",104,1718,60.5
,"30-34 years",52,1878,27.7
,"35-39 years",25,1897,13.2
,"40-44 years",8,2121,3.8
"Logan","10-14 years",".",3021,"."
,"15-17 years",".",1827,"."
,"18-19 years",29,1791,16.2
,"20-24 years",118,2848,41.4
,"25-29 years",140,2422,57.8
,"30-34 years",111,2630,42.2
,"35-39 years",40,2622,15.3
,"40-44 years",7,2750,2.5
"Love","15-17 years",7,380,18.4
,"18-19 years",16,221,72.4
,"20-24 years",51,531,96.0
,"25-29 years",41,534,76.8
,"30-34 years",17,584,29.1
,"35-39 years",7,506,13.8
"McClain","15-17 years",6,1622,3.7
,"18-19 years",30,820,36.6
,"20-24 years",109,1847,59.0
,"25-29 years",126,1899,66.4
,"30-34 years",95,2280,41.7
,"35-39 years",38,2256,16.8
,"40-44 years",11,2376,4.6
"McCurtain","15-17 years",33,1494,22.1
,"18-19 years",50,812,61.6
,"20-24 years",183,1952,93.8
,"25-29 years",126,1802,69.9
,"30-34 years",63,1939,32.5
,"35-39 years",19,1917,9.9
,"40-44 years",8,2055,3.9
,"45-54 years",".",4494,"."
"McIntosh","10-14 years",".",1239,"."
,"15-17 years",".",770,"."
,"18-19 years",18,443,40.6
,"20-24 years",83,950,87.4
,"25-29 years",47,959,49.0
